D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
GPT-OSS_120B_baseline,5.0,6.0,5.0,4.0,5.0
LLAMA3_1_70B_baseline,6.0,6.0,6.0,4.0,4.0
LLAMA3_70B_baseline,7.0,6.0,6.0,7.0,2.0
PHI3_INSTRUCT_baseline,4.0,4.0,7.0,3.0,2.0
QWEN2_5VL_32B_baseline,5.0,5.0,5.0,5.0,5.0
QWEN2_5VL_72B_baseline,5.0,5.0,5.0,5.0,3.0
QWEN2_5VL_7B_baseline,7.0,7.0,7.0,7.0,7.0
QWEN3_32B_baseline,5.0,5.0,4.0,5.0,3.0
QWEN_7B_baseline,,,,5.0,9.0
GPT_4O_baseline,6.0,6.0,6.0,5.0,6.0
GPT-OSS_120B_chainofthought,5.0,5.0,5.0,5.0,5.0
LLAMA3_1_70B_chainofthought,8.0,8.0,7.0,7.0,8.0
LLAMA3_70B_chainofthought,7.0,6.0,7.0,6.0,6.0
PHI3_INSTRUCT_chainofthought,6.0,7.0,8.0,4.0,4.0
QWEN2_5VL_32B_chainofthought,7.0,5.0,7.0,5.0,5.0
QWEN2_5VL_72B_chainofthought,5.0,5.0,5.0,5.0,5.0
QWEN2_5VL_7B_chainofthought,7.0,7.0,7.0,7.0,7.0
QWEN3_32B_chainofthought,5.0,5.0,4.0,4.0,5.0
QWEN_7B_chainofthought,,,,5.0,10.0
GPT_4O_chainofthought,5.0,5.0,4.0,5.0,4.0
GPT-OSS_120B_declarative,5.0,5.0,5.0,5.0,4.0
LLAMA3_1_70B_declarative,6.0,7.0,6.0,8.0,4.0
LLAMA3_70B_declarative,8.0,6.0,6.0,8.0,4.0
PHI3_INSTRUCT_declarative,6.0,4.0,6.0,3.0,4.0
QWEN2_5VL_32B_declarative,7.0,7.0,7.0,7.0,5.0
QWEN2_5VL_72B_declarative,5.0,5.0,5.0,5.0,5.0
QWEN2_5VL_7B_declarative,7.0,7.0,7.0,7.0,7.0
QWEN3_32B_declarative,3.0,6.0,5.0,5.0,4.0
QWEN_7B_declarative,10.0,7.0,3.0,3.0,6.0
GPT_4O_declarative,4.0,4.0,3.0,4.0,4.0
GPT-OSS_120B_explicit,5.0,5.0,5.0,5.0,5.0
LLAMA3_1_70B_explicit,5.0,5.0,6.0,4.0,8.0
LLAMA3_70B_explicit,6.0,6.0,8.0,6.0,8.0
PHI3_INSTRUCT_explicit,6.0,2.0,7.0,4.0,2.0
QWEN2_5VL_32B_explicit,5.0,5.0,5.0,5.0,5.0
QWEN2_5VL_72B_explicit,5.0,5.0,5.0,5.0,2.0
QWEN2_5VL_7B_explicit,7.0,7.0,7.0,7.0,7.0
QWEN3_32B_explicit,4.0,5.0,3.0,4.0,4.0
QWEN_7B_explicit,7.0,7.0,7.0,6.0,7.0
GPT_4O_explicit,5.0,5.0,5.0,5.0,6.0
GPT-OSS_120B_parantheses,5.0,6.0,5.0,6.0,5.0
LLAMA3_1_70B_parantheses,5.0,5.0,6.0,4.0,6.0
LLAMA3_70B_parantheses,6.0,4.0,7.0,7.0,2.0
PHI3_INSTRUCT_parantheses,6.0,2.0,8.0,10.0,2.0
QWEN2_5VL_32B_parantheses,5.0,5.0,5.0,5.0,5.0
QWEN2_5VL_72B_parantheses,5.0,5.0,5.0,5.0,2.0
QWEN2_5VL_7B_parantheses,8.0,7.0,7.0,7.0,7.0
QWEN3_32B_parantheses,7.0,6.0,5.0,4.0,5.0
QWEN_7B_parantheses,,,,,7.0
GPT_4O_parantheses,5.0,5.0,5.0,5.0,6.0
GPT-OSS_120B_roleplay,5.0,6.0,6.0,5.0,5.0
LLAMA3_1_70B_roleplay,4.0,5.0,7.0,8.0,8.0
LLAMA3_70B_roleplay,8.0,6.0,7.0,8.0,8.0
PHI3_INSTRUCT_roleplay,4.0,3.0,10.0,3.0,2.0
QWEN2_5VL_32B_roleplay,6.0,5.0,6.0,5.0,5.0
QWEN2_5VL_72B_roleplay,5.0,5.0,5.0,5.0,3.0
QWEN2_5VL_7B_roleplay,7.0,7.0,7.0,7.0,7.0
QWEN3_32B_roleplay,6.0,5.0,4.0,7.0,7.0
QWEN_7B_roleplay,5.0,6.0,8.0,7.0,6.0
GPT_4O_roleplay,5.0,5.0,5.0,6.0,4.0
